1/5/2024,1/7/2024,1/12/2024,1/13/2024,1/14/2024,1/15/2024,1/18/2024,1/19/2024,1/22/2024,1/26/2024
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
32.3,37.3,38.1,41.2,40,38.1,28.5,30.4,30.6,32
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
30.2,35.2,36.6,39.5,29.8,33.1,26.6,27.5,27.2,28.4
32.5,37.3,36.4,40.4,40.4,38.4,28.2,29.9,30.4,32.3
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
30.2,35.2,36.6,39.5,29.8,33.1,26.6,27.5,27.2,28.4
32.8,37.3,38,41.3,41.5,36.6,27.9,29.5,29.8,31.9
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
29.5,34.8,34.7,38.4,38.1,35.1,25.1,28.2,27.7,29.4
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
30.2,35.2,36.6,39.5,29.8,33.1,26.6,27.5,27.2,28.4
28.7,30.9,36.1,36.7,30.1,33.1,26.2,26.6,25.9,27.9
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
32.5,37.3,36.4,40.4,40.4,38.4,28.2,29.9,30.4,32.3
30.9,36,37,40.7,36.6,34.4,26.8,27.6,28,29.8
28.7,30.9,36.1,36.7,30.1,33.1,26.2,26.6,25.9,27.9
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
28.7,30.9,36.1,36.7,30.1,33.1,26.2,26.6,25.9,27.9
31.3,35.1,37.1,40.4,36.5,34.5,27.6,28.1,28.5,30.6
